reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Brazil,2012,Import,Animal,Micro Import (US$ Thousand),2327096.241,1.0427
Brazil,2012,Import,Chemicals,Micro Import (US$ Thousand),35443006.71,15.8807
Brazil,2012,Import,Food Products,Micro Import (US$ Thousand),2925221.026,1.3107
Brazil,2012,Import,Footwear,Micro Import (US$ Thousand),775409.779,0.3474
Brazil,2012,Import,Fuels,Micro Import (US$ Thousand),40191733.99,18.0084
Brazil,2012,Import,Hides and Skins,Micro Import (US$ Thousand),595246.449,0.2667
Brazil,2012,Import,Mach and Elec,Micro Import (US$ Thousand),60149028.19,26.9505
Brazil,2012,Import,Metals,Micro Import (US$ Thousand),13795111.08,6.1811
Brazil,2012,Import,Minerals,Micro Import (US$ Thousand),2031392.188,0.9102
Brazil,2012,Import,Miscellaneous,Micro Import (US$ Thousand),9216205.407,4.1294
Brazil,2012,Import,Plastic or Rubber,Micro Import (US$ Thousand),12533278.72,5.6157
Brazil,2012,Import,Stone and Glass,Micro Import (US$ Thousand),2600375.439,1.1651
Brazil,2012,Import,Textiles and Clothing,Micro Import (US$ Thousand),6615217.847,2.964
Brazil,2012,Import,Transportation,Micro Import (US$ Thousand),25207989.14,11.2947
Brazil,2012,Import,Vegetable,Micro Import (US$ Thousand),6306408.591,2.8257
Brazil,2012,Import,Wood,Micro Import (US$ Thousand),2470753.875,1.1071
Brazil,2013,Export,  All Products,Export (US$ Thousand),242032979.2,100
Brazil,2013,Export, Capital goods,Macro Export (US$ Thousand),38537933.87,15.9226
Brazil,2013,Export, Consumer goods,Macro Export (US$ Thousand),32430526.13,13.3992
Brazil,2013,Export, Intermediate goods,Macro Export (US$ Thousand),61020226.71,25.2115
Brazil,2013,Export, Raw materials,Macro Export (US$ Thousand),105206462.2,43.4678
Brazil,2013,Export,Other,Macro Export (US$ Thousand),4837830.288,1.9989
Brazil,2013,Export,Animal,Micro Export (US$ Thousand),16630767.59,6.8713
Brazil,2013,Export,Chemicals,Micro Export (US$ Thousand),11087370.25,4.5809
Brazil,2013,Export,Food Products,Micro Export (US$ Thousand),30277298.75,12.5096
Brazil,2013,Export,Footwear,Micro Export (US$ Thousand),1268836.502,0.5242
Brazil,2013,Export,Fuels,Micro Export (US$ Thousand),17822167.35,7.3635
Brazil,2013,Export,Hides and Skins,Micro Export (US$ Thousand),2607205.635,1.0772
Brazil,2013,Export,Mach and Elec,Micro Export (US$ Thousand),17491329.72,7.2268
Brazil,2013,Export,Metals,Micro Export (US$ Thousand),14805306.39,6.1171
Brazil,2013,Export,Minerals,Micro Export (US$ Thousand),35883404.62,14.8258
Brazil,2013,Export,Miscellaneous,Micro Export (US$ Thousand),7199731.554,2.9747
Brazil,2013,Export,Plastic or Rubber,Micro Export (US$ Thousand),5608025.918,2.3171
Brazil,2013,Export,Stone and Glass,Micro Export (US$ Thousand),5127631.526,2.1186
Brazil,2013,Export,Textiles and Clothing,Micro Export (US$ Thousand),2376067.199,0.9817
Brazil,2013,Export,Transportation,Micro Export (US$ Thousand),26573882.18,10.9794
Brazil,2013,Export,Vegetable,Micro Export (US$ Thousand),38013904.29,15.7061
Brazil,2013,Export,Wood,Micro Export (US$ Thousand),9260049.752,3.8259
Brazil,2013,Import,  All Products,Import (US$ Thousand),239747516,100
Brazil,2013,Import, Capital goods,Macro Import (US$ Thousand),82229735.88,34.2985
Brazil,2013,Import, Consumer goods,Macro Import (US$ Thousand),67536603.86,28.1699
Brazil,2013,Import, Intermediate goods,Macro Import (US$ Thousand),61792122.38,25.7738
Brazil,2013,Import, Raw materials,Macro Import (US$ Thousand),28189050.29,11.7578
Brazil,2013,Import,Other,Macro Import (US$ Thousand),3.591999799,0
Brazil,2013,Import,Animal,Micro Import (US$ Thousand),2456909.229,1.0248
Brazil,2013,Import,Chemicals,Micro Import (US$ Thousand),38072399.68,15.8802
Brazil,2013,Import,Food Products,Micro Import (US$ Thousand),2867950.205,1.1962
Brazil,2013,Import,Footwear,Micro Import (US$ Thousand),818428.483,0.3414
Brazil,2013,Import,Fuels,Micro Import (US$ Thousand),45807606.39,19.1066
Brazil,2013,Import,Hides and Skins,Micro Import (US$ Thousand),607345.761,0.2533
Brazil,2013,Import,Mach and Elec,Micro Import (US$ Thousand),64014702.27,26.7009
Brazil,2013,Import,Metals,Micro Import (US$ Thousand),13706134.25,5.7169
Brazil,2013,Import,Minerals,Micro Import (US$ Thousand),2329817.276,0.9718
Brazil,2013,Import,Miscellaneous,Micro Import (US$ Thousand),10094358.07,4.2104
Brazil,2013,Import,Plastic or Rubber,Micro Import (US$ Thousand),13630199.18,5.6852
Brazil,2013,Import,Stone and Glass,Micro Import (US$ Thousand),2622036.84,1.0937
Brazil,2013,Import,Textiles and Clothing,Micro Import (US$ Thousand),6803323.315,2.8377
Brazil,2013,Import,Transportation,Micro Import (US$ Thousand),26497718.74,11.0523
Brazil,2013,Import,Vegetable,Micro Import (US$ Thousand),7079088.838,2.9527
Brazil,2013,Import,Wood,Micro Import (US$ Thousand),2339497.467,0.9758
Brazil,2014,Export,  All Products,Export (US$ Thousand),225098405.2,100
Brazil,2014,Export, Capital goods,Macro Export (US$ Thousand),29945484.9,13.3033
Brazil,2014,Export, Consumer goods,Macro Export (US$ Thousand),28580022.49,12.6967
Brazil,2014,Export, Intermediate goods,Macro Export (US$ Thousand),60479480.67,26.868
Brazil,2014,Export, Raw materials,Macro Export (US$ Thousand),101293120.4,44.9995
Brazil,2014,Export,Other,Macro Export (US$ Thousand),4800296.755,2.1325
Brazil,2014,Export,Animal,Micro Export (US$ Thousand),17528426.62,7.787
Brazil,2014,Export,Chemicals,Micro Export (US$ Thousand),11430730.95,5.0781
Brazil,2014,Export,Food Products,Micro Export (US$ Thousand),26012938.56,11.5563
Brazil,2014,Export,Footwear,Micro Export (US$ Thousand),1244059.026,0.5527
Brazil,2014,Export,Fuels,Micro Export (US$ Thousand),20650307.56,9.1739
Brazil,2014,Export,Hides and Skins,Micro Export (US$ Thousand),3049850.301,1.3549
Brazil,2014,Export,Mach and Elec,Micro Export (US$ Thousand),16943524.93,7.5272
Brazil,2014,Export,Metals,Micro Export (US$ Thousand),16128556.34,7.1651
Brazil,2014,Export,Minerals,Micro Export (US$ Thousand),29185784.88,12.9658
Brazil,2014,Export,Miscellaneous,Micro Export (US$ Thousand),7211319.361,3.2036
Brazil,2014,Export,Plastic or Rubber,Micro Export (US$ Thousand),5532670.417,2.4579
Brazil,2014,Export,Stone and Glass,Micro Export (US$ Thousand),4754270.387,2.1121
Brazil,2014,Export,Textiles and Clothing,Micro Export (US$ Thousand),2544909.511,1.1306
Brazil,2014,Export,Transportation,Micro Export (US$ Thousand),16139113.29,7.1698
Brazil,2014,Export,Vegetable,Micro Export (US$ Thousand),37182238.54,16.5182
Brazil,2014,Export,Wood,Micro Export (US$ Thousand),9559704.561,4.2469
Brazil,2014,Import,  All Products,Import (US$ Thousand),229154460.9,100
Brazil,2014,Import, Capital goods,Macro Import (US$ Thousand),75769600.79,33.0649
Brazil,2014,Import, Consumer goods,Macro Import (US$ Thousand),65517697.81,28.5911
Brazil,2014,Import, Intermediate goods,Macro Import (US$ Thousand),61127304.16,26.6752
Brazil,2014,Import, Raw materials,Macro Import (US$ Thousand),26734077.87,11.6664
Brazil,2014,Import,Other,Macro Import (US$ Thousand),5780.257,0.0024
Brazil,2014,Import,Animal,Micro Import (US$ Thousand),2569917.042,1.1215
Brazil,2014,Import,Chemicals,Micro Import (US$ Thousand),37744416.72,16.4712
Brazil,2014,Import,Food Products,Micro Import (US$ Thousand),3114190.223,1.359
Brazil,2014,Import,Footwear,Micro Import (US$ Thousand),817257.317,0.3566
Brazil,2014,Import,Fuels,Micro Import (US$ Thousand),45039947.65,19.6548
Brazil,2014,Import,Hides and Skins,Micro Import (US$ Thousand),631006.374,0.2754
Brazil,2014,Import,Mach and Elec,Micro Import (US$ Thousand),58867226.8,25.6889
Brazil,2014,Import,Metals,Micro Import (US$ Thousand),13593212.41,5.9319
Brazil,2014,Import,Minerals,Micro Import (US$ Thousand),2164827.312,0.9447
Brazil,2014,Import,Miscellaneous,Micro Import (US$ Thousand),9552388.038,4.1685
Brazil,2014,Import,Plastic or Rubber,Micro Import (US$ Thousand),12969545.35,5.6597
Brazil,2014,Import,Stone and Glass,Micro Import (US$ Thousand),2352864.932,1.0268
Brazil,2014,Import,Textiles and Clothing,Micro Import (US$ Thousand),7151601.016,3.1209
Brazil,2014,Import,Transportation,Micro Import (US$ Thousand),23924551.52,10.4404
Brazil,2014,Import,Vegetable,Micro Import (US$ Thousand),6379769.207,2.784
Brazil,2014,Import,Wood,Micro Import (US$ Thousand),2281738.986,0.9957
Brazil,2015,Export,  All Products,Export (US$ Thousand),191126885.8,100
Brazil,2015,Export, Capital goods,Macro Export (US$ Thousand),27983647.95,14.6414
Brazil,2015,Export, Consumer goods,Macro Export (US$ Thousand),24510005.3,12.8239
Brazil,2015,Export, Intermediate goods,Macro Export (US$ Thousand),55397770.73,28.9848
