reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_dollars
Germany,2011,Export,Food Products,Micro Export (US$ Thousand),42046385.32,2.8337
Germany,2011,Export,Footwear,Micro Export (US$ Thousand),6057499.381,0.4082
Germany,2011,Export,Fuels,Micro Export (US$ Thousand),37098662.33,2.5002
Germany,2011,Export,Hides and Skins,Micro Export (US$ Thousand),3853177.288,0.2597
Germany,2011,Export,Mach and Elec,Micro Export (US$ Thousand),406624762.5,27.4042
Germany,2011,Export,Metals,Micro Export (US$ Thousand),127408208,8.5866
Germany,2011,Export,Minerals,Micro Export (US$ Thousand),3476086.308,0.2343
Germany,2011,Export,Miscellaneous,Micro Export (US$ Thousand),147110186.6,9.9144
Germany,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),80732564.18,5.4409
Germany,2011,Export,Stone and Glass,Micro Export (US$ Thousand),36753962.53,2.477
Germany,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),37838390.96,2.5501
Germany,2011,Export,Transportation,Micro Export (US$ Thousand),294367423,19.8387
Germany,2011,Export,Vegetable,Micro Export (US$ Thousand),19010604.4,1.2812
Germany,2011,Export,Wood,Micro Export (US$ Thousand),43120484.27,2.9061
Germany,2011,Import,  All Products,Import (US$ Thousand),1261588484,100
Germany,2011,Import, Capital goods,Macro Import (US$ Thousand),362075225.6,28.6999
Germany,2011,Import, Consumer goods,Macro Import (US$ Thousand),412504027.4,32.6972
Germany,2011,Import, Intermediate goods,Macro Import (US$ Thousand),277865870.9,22.0251
Germany,2011,Import, Raw materials,Macro Import (US$ Thousand),161788557.8,12.8242
Germany,2011,Import,Other,Macro Import (US$ Thousand),47354802.53,3.7536
Germany,2011,Import,Animal,Micro Import (US$ Thousand),24293027.33,1.9256
Germany,2011,Import,Chemicals,Micro Import (US$ Thousand),130339512.9,10.3314
Germany,2011,Import,Food Products,Micro Import (US$ Thousand),37725513.91,2.9903
Germany,2011,Import,Footwear,Micro Import (US$ Thousand),10969357.59,0.8695
Germany,2011,Import,Fuels,Micro Import (US$ Thousand),170967238.5,13.5517
Germany,2011,Import,Hides and Skins,Micro Import (US$ Thousand),5709839.386,0.4526
Germany,2011,Import,Mach and Elec,Micro Import (US$ Thousand),287637842.2,22.7997
Germany,2011,Import,Metals,Micro Import (US$ Thousand),116309750.9,9.2193
Germany,2011,Import,Minerals,Micro Import (US$ Thousand),16095392.68,1.2758
Germany,2011,Import,Miscellaneous,Micro Import (US$ Thousand),95234808.72,7.5488
Germany,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),63242740.53,5.0129
Germany,2011,Import,Stone and Glass,Micro Import (US$ Thousand),33960223.85,2.6919
Germany,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),56194145.48,4.4542
Germany,2011,Import,Transportation,Micro Import (US$ Thousand),136640176.3,10.8308
Germany,2011,Import,Vegetable,Micro Import (US$ Thousand),42156336.01,3.3415
Germany,2011,Import,Wood,Micro Import (US$ Thousand),34112577.97,2.7039
Germany,2012,Export,  All Products,Export (US$ Thousand),1412396694,100
Germany,2012,Export, Capital goods,Macro Export (US$ Thousand),539066865.8,38.1668
Germany,2012,Export, Consumer goods,Macro Export (US$ Thousand),484520766.2,34.3049
Germany,2012,Export, Intermediate goods,Macro Export (US$ Thousand),285659566.4,20.2252
Germany,2012,Export, Raw materials,Macro Export (US$ Thousand),43570926.04,3.0849
Germany,2012,Export,Other,Macro Export (US$ Thousand),59578569.38,4.2182
Germany,2012,Export,Animal,Micro Export (US$ Thousand),24512432.16,1.7355
Germany,2012,Export,Chemicals,Micro Export (US$ Thousand),170423875.9,12.0663
Germany,2012,Export,Food Products,Micro Export (US$ Thousand),41395681.07,2.9309
Germany,2012,Export,Footwear,Micro Export (US$ Thousand),5089685.529,0.3604
Germany,2012,Export,Fuels,Micro Export (US$ Thousand),36926296.85,2.6144
Germany,2012,Export,Hides and Skins,Micro Export (US$ Thousand),3610055.923,0.2556
Germany,2012,Export,Mach and Elec,Micro Export (US$ Thousand),379678096.5,26.8818
Germany,2012,Export,Metals,Micro Export (US$ Thousand),115098931.5,8.1492
Germany,2012,Export,Minerals,Micro Export (US$ Thousand),3015912.244,0.2135
Germany,2012,Export,Miscellaneous,Micro Export (US$ Thousand),142636526,10.0989
Germany,2012,Export,Plastic or Rubber,Micro Export (US$ Thousand),75529832.1,5.3476
Germany,2012,Export,Stone and Glass,Micro Export (US$ Thousand),34170603.29,2.4193
Germany,2012,Export,Textiles and Clothing,Micro Export (US$ Thousand),33738690.02,2.3888
Germany,2012,Export,Transportation,Micro Export (US$ Thousand),289490553.3,20.4964
Germany,2012,Export,Vegetable,Micro Export (US$ Thousand),18344207.37,1.2988
Germany,2012,Export,Wood,Micro Export (US$ Thousand),38735314.02,2.7425
Germany,2012,Import,  All Products,Import (US$ Thousand),1163386794,100
Germany,2012,Import, Capital goods,Macro Import (US$ Thousand),330482159.8,28.4069
Germany,2012,Import, Consumer goods,Macro Import (US$ Thousand),384014383.5,33.0083
Germany,2012,Import, Intermediate goods,Macro Import (US$ Thousand),244803965.1,21.0424
Germany,2012,Import, Raw materials,Macro Import (US$ Thousand),159466734.8,13.7071
Germany,2012,Import,Other,Macro Import (US$ Thousand),44619551.15,3.8353
Germany,2012,Import,Animal,Micro Import (US$ Thousand),23049572.28,1.9812
Germany,2012,Import,Chemicals,Micro Import (US$ Thousand),120196985.6,10.3316
Germany,2012,Import,Food Products,Micro Import (US$ Thousand),36988325.05,3.1794
Germany,2012,Import,Footwear,Micro Import (US$ Thousand),10092176.54,0.8675
Germany,2012,Import,Fuels,Micro Import (US$ Thousand),167306393.2,14.381
Germany,2012,Import,Hides and Skins,Micro Import (US$ Thousand),5207249.55,0.4476
Germany,2012,Import,Mach and Elec,Micro Import (US$ Thousand),261904154.2,22.5122
Germany,2012,Import,Metals,Micro Import (US$ Thousand),100477795.9,8.6367
Germany,2012,Import,Minerals,Micro Import (US$ Thousand),13576415.79,1.167
Germany,2012,Import,Miscellaneous,Micro Import (US$ Thousand),90057216.16,7.741
Germany,2012,Import,Plastic or Rubber,Micro Import (US$ Thousand),57897636.96,4.9766
Germany,2012,Import,Stone and Glass,Micro Import (US$ Thousand),30386568.66,2.6119
Germany,2012,Import,Textiles and Clothing,Micro Import (US$ Thousand),49154652.54,4.2251
Germany,2012,Import,Transportation,Micro Import (US$ Thousand),126118388.2,10.8406
Germany,2012,Import,Vegetable,Micro Import (US$ Thousand),40017583.35,3.4397
Germany,2012,Import,Wood,Micro Import (US$ Thousand),30955680.43,2.6608
Germany,2013,Export,  All Products,Export (US$ Thousand),1450937515,100
Germany,2013,Export, Capital goods,Macro Export (US$ Thousand),554791511.1,38.2368
Germany,2013,Export, Consumer goods,Macro Export (US$ Thousand),501595071.9,34.5704
Germany,2013,Export, Intermediate goods,Macro Export (US$ Thousand),286817343.8,19.7677
Germany,2013,Export, Raw materials,Macro Export (US$ Thousand),43916802.04,3.0268
Germany,2013,Export,Other,Macro Export (US$ Thousand),63816786.49,4.3983
Germany,2013,Export,Animal,Micro Export (US$ Thousand),27154236.24,1.8715
Germany,2013,Export,Chemicals,Micro Export (US$ Thousand),178222855.4,12.2833
Germany,2013,Export,Food Products,Micro Export (US$ Thousand),43939541.44,3.0284
Germany,2013,Export,Footwear,Micro Export (US$ Thousand),5768426.112,0.3976
Germany,2013,Export,Fuels,Micro Export (US$ Thousand),36403369.06,2.509
Germany,2013,Export,Hides and Skins,Micro Export (US$ Thousand),3842923.749,0.2649
Germany,2013,Export,Mach and Elec,Micro Export (US$ Thousand),387697248.3,26.7205
Germany,2013,Export,Metals,Micro Export (US$ Thousand),114360899.7,7.8819
Germany,2013,Export,Minerals,Micro Export (US$ Thousand),3070316.902,0.2116
Germany,2013,Export,Miscellaneous,Micro Export (US$ Thousand),147878691.1,10.1919
Germany,2013,Export,Plastic or Rubber,Micro Export (US$ Thousand),78811065.65,5.4317
Germany,2013,Export,Stone and Glass,Micro Export (US$ Thousand),32124985.15,2.2141
Germany,2013,Export,Textiles and Clothing,Micro Export (US$ Thousand),34826225.76,2.4003
Germany,2013,Export,Transportation,Micro Export (US$ Thousand),296663428.9,20.4463
Germany,2013,Export,Vegetable,Micro Export (US$ Thousand),20312008.7,1.3999
Germany,2013,Export,Wood,Micro Export (US$ Thousand),39861293.13,2.7473
Germany,2013,Import,  All Products,Import (US$ Thousand),1187301533,100
Germany,2013,Import, Capital goods,Macro Import (US$ Thousand),338129584.7,28.4788
Germany,2013,Import, Consumer goods,Macro Import (US$ Thousand),396636902.8,33.4066
Germany,2013,Import, Intermediate goods,Macro Import (US$ Thousand),246269740.8,20.742
Germany,2013,Import, Raw materials,Macro Import (US$ Thousand),157784807.5,13.2894
Germany,2013,Import,Other,Macro Import (US$ Thousand),48480497.34,4.0832
Germany,2013,Import,Animal,Micro Import (US$ Thousand),25142029.99,2.1176
Germany,2013,Import,Chemicals,Micro Import (US$ Thousand),122954676.4,10.3558
Germany,2013,Import,Food Products,Micro Import (US$ Thousand),38557803.26,3.2475
