country,population,gdp,trade_balance,top_importer,import_value,top_exporter,export_value
Tajikistan,9100837,752294781,0,Uzbekistan,185197,Russia,25877
Turkmenistan,5850908,4076114286,4145,Russia,254491486,Russia,1029302693
East Timor,1267972,2581,0,Indonesia,1874948939,Indonesia,613575262
Tonga,103197,4503533139,-2414987693,New Zealand,62424969,New Zealand,4377102
Trinidad and Tobago,1389858,2380814675,0,United States of America,2970789054,United States of America,4487844814
Tunisia,11565204,3987113227,-5232498395,Italy,3212030104,France,4342334834
Turkey,82319724,7713503305,-846296847,Russia,219895711,Germany,1614421482
Tuvalu,11508,4258777847,0,Australia,4351775,Fiji,4855
United Republic of Tanzania,56318348,5800120057,0,China,1770516491,Rwanda,6856292184
Uganda,42723139,2746144019,-2521177144,China,1184441652,Kenya,5801523514
Ukraine,44622516,1308323744,-112499035,Russia,8090391281,Russia,3652428496
Uruguay,3449299,5959688502,1201644694,China,1678296627,China,1500441917
United States of America,327167434,2054434346,-638214,China,5632031195,Canada,2997444925
Saint Vincent and the Grenadines,110210,8113,0,United States of America,1366205148,Dominica,7795647952
Venezuela,28870195,0,0,United States of America,104876554,Unspecified,578065087
Vietnam,95540395,2452136864,823168695,China,5853256613,United States of America,4154971467
Vanuatu,292680,9143011193,0,Australia,83268138,Malaysia,12991283
Samoa,196130,8204917983,-125016794,New Zealand,904772596,American Samoa,1229020542
Yemen,28498687,2691440222,0,United Arab Emirates,754198499,Saudi Arabia,163957478
South Africa,57779622,3682889398,126629338,China,1708738597,China,8550852952
Zambia,17351822,2672007344,-2175728765,South Africa,2726786421,Switzerland,380916328
Zimbabwe,14439018,3100051945,-8024054287,South Africa,2458477736,South Africa,2078156756
