country,population,gdp,trade_balance,top_importer,import_value,top_exporter,export_value,gdp_pop
Portugal,10281762,240674.5245,208.67546,Spain,30059.80037,Spain,18733.96443,23407.90659
Bahrain,1569439,37746.19681,3125,Saudi Arabia,6813.977407,Unspecified,6898.305,24050.75751
Slovenia,2067372,54007.97211,4472.063562,Germany,5908.474565,Germany,7404.925554,26123.97387
Malta,483530,14553.42293,3039.132388,Italy,1659.452867,Bunkers,605.6922397,30098.28331
Spain,46723749,1419041.95,38507.46555,Germany,47296.26381,France,50663.18979,30370.89233
South Korea,51635256,1619423.701,81236.46425,China,106487.8541,China,162124.6676,31362.75147
Brunei,428962,13567.35118,1352.425161,China,1641.411362,Japan,2282.379465,31628.3288
The Bahamas,385640,12424.5,-644.8,United States,2587.841812,United States,367.790303,32217.87159
Kuwait,4137309,140645.3642,18218.54305,China,5978.934096,Unspecified,65374.75963,33994.40656
Italy,60431283,2083864.26,52077.67913,Germany,82968.37491,Germany,68756.28137,34483.20401
Japan,126529100,4971323.08,12698.42082,China,173611.8075,China,144053.3447,39289.95844
France,66987244,2777535.239,-21484.05666,Germany,102253.0319,Germany,83212.11733,41463.64402
Israel,8883800,370587.9772,1584.51104,China,10465.96,United States,16781.286,41715.02929
New Zealand,4885500,204923.9179,-304.443842,China,8633.405518,China,9640.909658,41945.33168
Andorra,77006,3236.543909,0,Spain,1033.550915,Spain,79.9059304,42029.76273
United Kingdom,66488991,2855296.732,-50333.41014,Germany,92101.40391,United States,65985.30479,42943.90228
United Arab Emirates,9630959,414178.9426,107202.1784,China,38012.37018,Unspecified,214295.5973,43004.95336
Canada,37058856,1713341.705,-33617.98614,United States,235117.5563,United States,337814.2898,46232.98963
Belgium,11422068,542761.0921,-885.63747,Netherlands,81699.11057,Germany,84085.1295,47518.63604
Germany,82927922,3947620.163,243227.4727,China,126750.9453,United States,134363.4387,47603.02764
Hong Kong S.A.R.,7451000,362682.0182,222.2364,China,280977.1544,China,314293.5013,48675.61645
Finland,5518050,276743.1205,-2025.52834,Germany,11905.10975,Germany,11156.09275,50152.34014
Austria,8847037,455285.818,16943.22583,Germany,65338.01114,Germany,53090.7566,51461.95478
Netherlands,17231017,913658.4657,100417.1017,Germany,88213.92346,Germany,120452.83,53024.05921
Sweden,10183175,556086.4889,13906.21169,Germany,30453.71828,Germany,17626.22254,54608.36025
Australia,24992369,1433904.349,5980.15657,China,57699.42191,China,87726.22473,57373.6867
Denmark,5797446,355675.3291,21508.0849,Germany,22938.58339,Special Categories,17171.04594,61350.34791
United States of America,327167434,20544343.46,-638214,China,563203.1195,Canada,299744.4925,62794.58566
Singapore,5638676,364156.6578,96729.90807,China,49634.33918,China,50396.44853,64581.94402
Qatar,2781677,191362.0879,36750,United States,6118.000805,"Korea, Rep.",11634.80854,68793.78443
Iceland,353574,25878.47576,798.866908,Norway,878.7584228,Netherlands,1680.94269,73191.11632
Ireland,4853506,382487.4905,126760.5466,United Kingdom,23447.94315,United States,46393.47457,78806.43199
Norway,5314336,434166.6154,25221.27267,Sweden,10568.39877,United Kingdom,26541.84707,81697.24598
Switzerland,8516543,705140.3542,86210.81506,Germany,57788.72381,Germany,47447.29079,82796.54717
Macao S.A.R,631636,55084.05079,27310.37473,China,3132.42622,Unspecified,737.325309,87208.53591
Luxembourg,607728,70885.32588,25529.17839,Belgium,5888.666201,Germany,3985.017465,116639.888
